config	seed	checkpoint	blimp_task	accuracy	hidden_size	layers	config_short	num_params
layers_2_hs_768_heads_12_cl_256	0	5	hypernym	0.4848837209302326	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	qa_congruence_easy	0.59375	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	qa_congruence_tricky	0.40606060606060607	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	subject_aux_inversion	0.8067821419858502	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	turn_taking	0.6857142857142857	768	2	2*768	14177280
layers_2_hs_1536_heads_12_cl_256	13	5	anaphor_agreement	0.9662576687116564	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	argument_structure	0.7693986420950534	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	binding	0.7377560106856634	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	control_raising	0.7333186036235086	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	determiner_noun_agreement	0.9215062317687616	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	ellipsis	0.7055427251732102	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	filler_gap	0.7141300964830377	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	irregular_forms	0.9348600508905852	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	island_effects	0.6057548579970105	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	npi_licensing	0.6401457637412694	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	quantifiers	0.6749098402885111	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	subject_verb_agreement	0.798193315266486	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	hypernym	0.48604651162790696	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	qa_congruence_easy	0.65625	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	qa_congruence_tricky	0.42424242424242425	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	subject_aux_inversion	0.8709441327152964	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	turn_taking	0.7142857142857143	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	anaphor_agreement	0.9795501022494888	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	argument_structure	0.7777643064985451	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	binding	0.6821015138023152	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	control_raising	0.7288996906760937	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	determiner_noun_agreement	0.9310527711482366	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	ellipsis	0.73094688221709	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	filler_gap	0.7217553688141923	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	irregular_forms	0.9216284987277353	1536	2	2*1536	59025408
