config	seed	checkpoint	msgs_task	accuracy	hidden_size	layers	config_short	num_params
layers_4_hs_384_heads_12_cl_256	0	5	main_verb_lexical_content_the	0.673107385635376	384	4	4*384	7688448
layers_4_hs_384_heads_12_cl_256	0	5	main_verb_relative_token_position	0.6695368885993958	384	4	4*384	7688448
layers_4_hs_384_heads_12_cl_256	0	5	syntactic_category_lexical_content_the	0.6486440300941467	384	4	4*384	7688448
layers_4_hs_384_heads_12_cl_256	0	5	syntactic_category_relative_position	0.6309722065925598	384	4	4*384	7688448
layers_4_hs_384_heads_12_cl_256	0	5	control_raising_lexical_content_the	0.6716497540473938	384	4	4*384	7688448
layers_4_hs_384_heads_12_cl_256	0	5	control_raising_relative_token_position	0.6728628873825073	384	4	4*384	7688448
layers_4_hs_768_heads_12_cl_256	13	5	main_verb_control	0.9910091757774353	768	4	4*768	28353024
layers_4_hs_768_heads_12_cl_256	13	5	control_raising_control	0.9157076478004456	768	4	4*768	28353024
layers_4_hs_768_heads_12_cl_256	13	5	syntactic_category_control	0.8095372319221497	768	4	4*768	28353024
layers_4_hs_768_heads_12_cl_256	13	5	lexical_content_the_control	0.7682967185974121	768	4	4*768	28353024
layers_4_hs_768_heads_12_cl_256	13	5	relative_position_control	0.9777802228927612	768	4	4*768	28353024
layers_4_hs_768_heads_12_cl_256	13	5	main_verb_lexical_content_the	0.6660934686660767	768	4	4*768	28353024
layers_4_hs_768_heads_12_cl_256	13	5	main_verb_relative_token_position	0.6811140179634094	768	4	4*768	28353024
layers_4_hs_768_heads_12_cl_256	13	5	syntactic_category_lexical_content_the	0.6918726563453674	768	4	4*768	28353024
layers_4_hs_768_heads_12_cl_256	13	5	syntactic_category_relative_position	0.6493868231773376	768	4	4*768	28353024
layers_4_hs_768_heads_12_cl_256	13	5	control_raising_lexical_content_the	0.6871814727783203	768	4	4*768	28353024
layers_4_hs_768_heads_12_cl_256	13	5	control_raising_relative_token_position	0.7034772038459778	768	4	4*768	28353024
layers_4_hs_768_heads_12_cl_256	0	5	main_verb_control	0.9871559739112854	768	4	4*768	28353024
layers_4_hs_768_heads_12_cl_256	0	5	control_raising_control	0.9577791094779968	768	4	4*768	28353024
layers_4_hs_768_heads_12_cl_256	0	5	syntactic_category_control	0.8420607447624207	768	4	4*768	28353024
layers_4_hs_768_heads_12_cl_256	0	5	lexical_content_the_control	0.8069230914115906	768	4	4*768	28353024
layers_4_hs_768_heads_12_cl_256	0	5	relative_position_control	0.9533495306968689	768	4	4*768	28353024
layers_4_hs_768_heads_12_cl_256	0	5	main_verb_lexical_content_the	0.6930630207061768	768	4	4*768	28353024
layers_4_hs_768_heads_12_cl_256	0	5	main_verb_relative_token_position	0.7013019323348999	768	4	4*768	28353024
layers_4_hs_768_heads_12_cl_256	0	5	syntactic_category_lexical_content_the	0.6601688265800476	768	4	4*768	28353024
layers_4_hs_768_heads_12_cl_256	0	5	syntactic_category_relative_position	0.6407985091209412	768	4	4*768	28353024
layers_4_hs_768_heads_12_cl_256	0	5	control_raising_lexical_content_the	0.6647090315818787	768	4	4*768	28353024
layers_4_hs_768_heads_12_cl_256	0	5	control_raising_relative_token_position	0.6725367903709412	768	4	4*768	28353024
layers_4_hs_1536_heads_12_cl_256	13	5	main_verb_control	0.9943119287490845	1536	4	4*1536	115688448
layers_4_hs_1536_heads_12_cl_256	13	5	control_raising_control	0.9492601752281189	1536	4	4*1536	115688448
layers_4_hs_1536_heads_12_cl_256	13	5	syntactic_category_control	0.8232343196868896	1536	4	4*1536	115688448
layers_4_hs_1536_heads_12_cl_256	13	5	lexical_content_the_control	0.7575274705886841	1536	4	4*1536	115688448
